,찗옷,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
SSG,19,3.5,3.81,1.3,121.5,112.2,30.14,16.03
LG,22,3.33,3.81,1.27,119.5,104.4,27.64,12.55
KT,22,3.56,3.54,1.25,115.7,115,26.67,7.76
LG,21,3.59,3.95,1.31,120.3,110,26.62,6.45
NC,16,4.49,4.79,1.42,113.3,107.4,25.78,-3.7
온,17,4.57,4.91,1.43,110.4,102.6,24.96,-3.64
왍,16,4.46,4.96,1.46,114.6,101,24.93,-2.18
KT,21,3.68,3.74,1.32,122.1,118.7,24.68,3.64
왍,19,3.51,3.85,1.28,116.9,106,23.64,10.43
콣,22,3.8,4,1.34,105.1,98.9,22.66,10.22
LG,15,4.64,4.53,1.44,101.1,103.3,22.22,-6.96
콣,19,3.6,3.48,1.3,114.9,118.7,22.22,5.42
SSG,18,4.69,5.13,1.4,112.1,103.4,21.78,-10.28
SSG,15,4.73,4.68,1.46,102.1,103.8,21.76,-4.73
NC,15,4.26,4.73,1.34,112.4,103.1,21.59,0.22
콣,16,4.96,5.11,1.5,106,101.4,21.57,-11.47
왍,17,4.38,4.77,1.45,109.9,101.1,21.46,-3.94
왍,21,4.26,4.27,1.48,101.2,101.1,21.14,-0.36
왍,20,4.4,4.24,1.46,105.3,109.2,21.06,-4.68
SSG,22,3.9,4.23,1.29,106.7,99.2,20.71,9.02
KIA,15,4.8,5.07,1.53,102.8,97.7,20.09,-8.59
온,20,4.64,4.57,1.41,104.9,105,19.76,-10.7
홛,18,4.95,5.04,1.47,107,105.9,19.69,-5.47
KIA,16,4.99,5.03,1.58,103.7,103.8,19.63,-12.19
庸,21,4.3,4.39,1.45,105.1,103,19.56,1.15
NC,20,4.59,4.9,1.42,106.5,98.9,19.5,-3.39
왍,18,5,5.12,1.46,101.1,98.4,19.4,-5.12
LG,17,4.32,4.43,1.32,112.1,109.1,19.16,-5.25
콣,20,4.39,4.53,1.39,107.4,102.5,19.14,-1.72
KIA,17,4.82,4.73,1.51,103.1,105.6,19.12,-5.01
NC,22,3.91,4.05,1.36,104.2,101.4,18.72,3.85
KT,20,4.56,4.74,1.46,105.3,100.4,18.65,-5.59
庸,20,4.78,5.03,1.47,102.6,97,18.6,-4.92
콣,17,5.06,4.8,1.48,98.4,102,18.33,-12.17
SSG,16,4.94,5.23,1.5,105.7,100.3,18.28,-10.56
KIA,20,5.14,4.62,1.54,93.4,104,18.14,-7.3
庸,18,5.22,5.23,1.49,101.7,100.5,18.08,-10.91
콣,18,5.08,5.22,1.45,101.5,97.8,18.07,-12.66
콣,15,4.95,4.81,1.5,100.6,103.2,17.54,-12.81
NC,19,4.02,4.22,1.38,104.9,100,17.39,3.13
SSG,17,5.03,5.13,1.51,100.1,98.6,17.06,-9.09
NC,21,4.54,4.51,1.48,100,100.1,16.66,-5.27
KT,18,5.37,5.31,1.56,98.7,97.9,16.59,-20.35
KIA,18,5.43,5.23,1.54,94.6,98.6,16.43,-19.08
NC,17,4.71,5.02,1.41,105.2,99.6,16.35,-3.91
LG,20,4.39,4.53,1.42,105.3,101.9,15.87,-0.02
온,18,5.41,5.1,1.53,96.5,102.6,15.85,-16.1
KIA,21,4.91,4.91,1.5,90.5,90.5,14.95,-5.75
LG,19,3.89,4.16,1.37,105.5,97.9,14.83,5.28
왍,15,5.03,4.86,1.53,93.2,96,14.37,-7.41
LG,16,5.1,5.06,1.53,99.8,99,14.32,-13.17
온,15,5.11,4.98,1.52,98.7,99,14.19,-12.54
庸,15,4.7,4.72,1.37,105.1,104.2,14.06,-3.49
KIA,19,4.66,4.23,1.48,89.9,98.9,13.92,-5.39
홛,17,5.3,5.25,1.51,95,96.4,13.83,-18.16
콣,21,4.33,4.43,1.46,102.4,98.1,13.75,-2.72
온,22,4.47,3.61,1.46,93.1,113.1,13.49,-2.38
庸,22,4.33,4.35,1.44,96.4,95,13.46,-4.63
홛,16,5.76,5.44,1.67,91.1,96.5,13.12,-19.05
LG,18,5.32,5.05,1.49,94.8,99.2,13.04,-17.54
KT,15,5.56,5.08,1.65,90.4,96.6,12.82,-21.93
KT,17,5.78,5.32,1.56,87.8,93.8,12.68,-19.75
KIA,22,4.21,4.27,1.42,96.8,95.9,12.68,-2.45
庸,16,5.64,5.69,1.58,93.4,91.7,12.55,-20.19
홛,20,5.29,5.15,1.59,89.3,93,12.32,-12.46
KT,19,4.31,4.51,1.4,96,91.2,12.31,-1.44
홛,15,5.11,5.43,1.56,97.4,90.9,11.91,-14.97
온,19,4.87,4.39,1.54,86,95.6,11.8,-12.89
홛,19,4.82,4.55,1.52,86,91.4,11.57,-6.91
庸,19,4.64,4.6,1.46,93.5,92.7,11.4,-6.64
온,16,5.63,5.36,1.64,92.8,97.5,11.08,-20.15
NC,18,5.5,5.54,1.57,94.3,94.9,10.98,-19.46
온,21,5.38,4.75,1.57,84.5,94,10.9,-7.04
SSG,21,4.84,4.86,1.51,92.6,93.5,10.43,-9.41
홛,21,4.68,4.7,1.49,93.7,94.8,9.97,-6.54
KT,16,5.93,5.23,1.69,88.1,99.9,8.82,-19.72
왍,22,4.46,4.44,1.48,89.2,89.4,8.53,-7.3
SSG,20,5.6,5.48,1.6,86.2,88.9,8.35,-18.95
庸,17,5.9,5.5,1.63,86,91.7,6.74,-20.24
홛,22,4.82,4.48,1.51,84,91.1,6.62,-1
