선수,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,투수WAR,투수WPA
고영표,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0,1,3.26,2.75,1.17,126.4,148.2,4.5,2.38
고우석,61,0,0,0,4,2,42,0,60.2,12,10,240,37,7,1,6,21,4,1,80,0,5,1.48,2.88,0.96,267.9,136.1,3.71,3.49
이용찬,59,0,0,0,3,3,22,0,60.2,16,14,253,56,6,1,3,13,0,3,61,0,1,2.08,2.76,1.14,196.1,148.2,2.93,2.45
정철원,58,0,0,0,4,3,3,23,72.2,26,25,294,60,12,2,4,26,2,2,47,0,7,3.1,3.83,1.18,128.5,104.6,2.51,1.1
곽빈,27,0,0,27,8,9,0,0,147.2,69,62,645,143,30,0,13,60,1,11,138,1,9,3.78,4.04,1.38,105.3,98.3,2.36,0.45
원종현,68,0,0,0,5,0,1,13,63.1,22,21,260,55,8,0,5,17,0,1,50,0,2,2.98,3.64,1.14,136.5,112.8,2.02,0.11
박세웅,28,0,0,28,10,11,0,0,157.1,80,66,679,180,32,4,8,32,1,8,146,0,7,3.78,2.89,1.35,110.3,141.6,1.87,-0.14
이인복,26,0,0,23,9,9,0,1,126.2,63,59,547,153,22,1,6,30,0,4,71,0,4,4.19,3.64,1.45,99.3,112,1.59,0.01
진해수,64,0,0,0,4,0,0,12,45,12,11,180,39,6,3,1,11,0,1,35,0,2,2.2,2.87,1.11,180.7,140.8,1.53,1.1
홍건희,58,0,0,0,2,9,18,9,62,30,24,265,58,9,0,5,21,3,2,60,0,4,3.48,3.42,1.27,114.2,116,1.09,0.16
우규민,60,0,0,0,4,3,1,16,47,21,17,201,55,11,0,3,6,2,4,31,1,0,3.26,3.36,1.3,128.2,122.7,1.07,-0.31
김원중,43,0,0,0,2,3,16,2,43,21,19,187,40,10,1,4,16,3,0,60,0,3,3.98,2.66,1.3,104.7,153.2,0.79,0.26
오원석,31,0,0,24,6,8,0,0,144,79,72,633,158,21,2,16,58,1,3,112,0,6,4.5,4.48,1.5,92.5,93.6,0.7,-0.91
양현종,30,0,0,30,12,7,0,0,175.1,86,75,743,170,33,3,14,50,1,3,141,0,3,3.85,3.66,1.26,105.9,112.1,1.68,0.27
장현식,54,0,0,0,2,3,1,19,52,21,19,233,54,11,2,4,26,3,1,40,0,5,3.29,4.18,1.54,124,97.6,1.27,-0.37