연도,구단,경기수,승수,방어율,선발 방어율,구원 방어율,세이브,탈삼진수,투구이닝,9이닝당 탈삼진수,투구수,타자수,피안타수,피홈런,사구,사사구,고의사구,실점,자책점,완투,완봉,무사사구,피안타율,QS비율,WHIP,UC타수,UC피안타,UC타율,UC피홈런,홀드
22,1:오릭스,143,76,2.84,2.77,2.96,43,"1,175",1281,8.25,"20,741","5,274","1,113",88,362,56,13,458,404,9,5,4,0.23,51.05%,1.15,"2,449",590,0.241,47,126
22,2:소프트뱅크,143,76,3.07,3.28,2.72,35,"1,176",1278,8.28,"20,949","5,260","1,028",115,459,46,15,471,436,8,6,1,0.217,41.96%,1.16,"2,066",464,0.225,58,124
22,3:세이부,143,72,2.75,2.99,2.31,44,984,1273,6.95,"20,861","5,260","1,070",81,419,65,17,448,389,2,1,1,0.225,51.75%,1.17,"2,233",522,0.234,40,121
22,4:라쿠텐,143,69,3.47,3.72,3.03,35,"1,018",1279,7.16,"20,882","5,323","1,161",123,391,42,10,522,493,3,1,1,0.238,44.76%,1.21,"2,104",508,0.241,52,104
22,5:롯데,143,69,3.42,3.35,3.54,38,"1,022",1274,7.22,"20,739","5,368","1,212",116,385,44,28,536,484,3,2,2,0.247,54.55%,1.25,"2,107",514,0.244,53,123
22,6:일본햄,143,59,3.46,3.26,3.83,25,"1,014",1266,7.21,"20,591","5,322","1,161",92,410,60,12,534,487,9,5,1,0.24,47.55%,1.24,"2,213",543,0.245,51,102
22,1:야쿠르트,143,80,3.54,3.84,3.08,40,979,1294,6.81,"20,837","5,460","1,265",141,360,59,30,566,509,4,3,2,0.252,44.76%,1.26,"2,117",530,0.25,60,120
22,2:DeNA,143,73,3.48,3.58,3.31,42,"1,045",1274,7.38,"20,967","5,359","1,171",123,382,58,26,534,492,4,3,2,0.239,44.76%,1.22,"2,285",536,0.235,53,117
22,3:한신,143,68,2.67,2.81,2.39,32,"1,047",1281,7.36,"19,923","5,201","1,126",83,256,40,32,428,380,15,7,5,0.231,56.64%,1.08,"2,349",555,0.236,45,125
22,4:거인,143,68,3.7,3.64,3.8,40,975,1274,6.89,"21,188","5,417","1,220",123,401,65,13,589,524,4,2,2,0.247,48.95%,1.27,"2,174",560,0.258,55,113
22,5:히로시마,143,66,3.54,3.66,3.32,32,"1,024",1280,7.2,"21,278","5,455","1,259",127,381,53,26,544,504,7,5,3,0.252,51.05%,1.28,"2,288",590,0.258,58,100
22,6:중일,143,66,3.28,3.46,2.93,42,"1,050",1272,7.43,"20,916","5,263","1,114",92,367,50,26,495,463,7,3,4,0.231,49.65%,1.16,"2,248",515,0.229,45,119
21,1:야쿠르트,143,73,3.48,3.63,3.25,44,"1,129",1260,8.06,"20,640","5,287","1,216",144,338,50,25,531,487,3,1,3,0.249,43.36%,1.23,"2,364",596,0.252,69,149
21,2:한신,143,77,3.29,3.04,3.8,43,986,1257,7.06,"20,234","5,244","1,136",115,352,31,36,508,460,6,2,3,0.235,55.94%,1.18,"2,141",502,0.234,41,92
21,3:거인,143,61,3.67,3.79,3.49,33,"1,079",1252,7.75,"20,983","5,295","1,132",139,444,56,20,541,511,4,2,0,0.237,44.76%,1.26,"2,068",494,0.239,59,112
21,4:히로시마,143,63,3.82,3.99,3.5,37,"1,034",1253,7.42,"21,539","5,422","1,224",124,464,45,19,589,532,5,3,1,0.25,58.04%,1.35,"2,166",552,0.255,53,96
21,5:중일,143,55,3.22,3.37,2.92,36,"1,005",1254,7.28,"20,679","5,163","1,145",98,359,38,17,478,445,4,2,2,0.241,52.45%,1.21,"2,190",534,0.244,57,100
21,6:DeNA,143,54,4.16,4.34,3.89,27,"1,057",1248,7.62,"21,264","5,347","1,237",124,442,51,19,624,577,3,2,1,0.256,40.56%,1.34,"1,991",543,0.273,47,97
21,1:오릭스,143,70,3.31,3.33,3.26,38,"1,055",1254,7.57,"20,887","5,198","1,093",107,388,49,15,500,461,6,4,1,0.23,51.75%,1.18,"2,087",481,0.23,48,107
21,2:롯데,143,67,3.67,3.95,3.22,41,953,1264,6.79,"20,547","5,340","1,191",147,396,34,21,570,516,5,2,3,0.244,44.76%,1.26,"2,143",523,0.244,61,115
21,3:라쿠텐,143,66,3.4,3.75,2.75,36,"1,098",1260,7.84,"20,676","5,232","1,146",115,373,32,10,507,476,5,3,2,0.238,50.35%,1.21,"2,232",536,0.24,59,93
21,4:소프트뱅크,143,60,3.25,3.36,3.07,28,"1,199",1255,8.6,"21,274","5,227","1,021",121,493,65,9,493,454,2,1,0,0.219,50.35%,1.21,"1,942",461,0.237,52,98
21,5:일본햄,143,55,3.32,3.42,3.14,31,"1,061",1255,7.6,"21,026","5,257","1,097",98,424,62,22,515,463,3,2,1,0.231,51.05%,1.21,"2,238",505,0.226,45,111
21,6:세이부,143,55,3.94,4.16,3.59,32,947,1250,6.81,"21,803","5,434","1,171",117,588,65,9,589,548,4,2,0,0.245,37.76%,1.41,"2,029",519,0.256,50,100
20,1:거인,120,67,3.34,3.2,3.6,27,886,1060,7.52,"17,580","4,429",901,114,374,59,16,421,394,4,4,0,0.226,46.67%,1.2,"1,732",373,0.215,42,96
20,2:한신,120,60,3.35,3.38,3.39,30,867,1054,7.4,"17,204","4,433",952,94,345,29,26,460,393,8,2,4,0.236,55.00%,1.23,"1,727",416,0.241,44,80
20,3:중일,120,60,3.84,3.57,4.33,31,947,1055,8.08,"17,595","4,431","1,002",116,325,36,15,489,450,11,6,2,0.247,45.00%,1.26,"1,721",421,0.245,43,94
20,4:DeNA,120,56,3.76,3.92,3.54,24,932,1045,8.03,"17,656","4,451",997,98,337,38,55,474,437,4,1,1,0.248,40.83%,1.28,"1,727",468,0.271,47,104
20,5:히로시마,120,52,4.06,3.74,4.64,21,913,1069,7.69,"18,533","4,636","1,065",113,410,28,19,529,482,8,2,2,0.255,51.67%,1.38,"1,665",437,0.262,46,56
20,6:야쿠르트,120,41,4.61,4.83,4.33,21,884,1063,7.48,"18,464","4,713","1,177",139,383,28,21,589,545,1,1,0,0.275,30.83%,1.47,"1,766",497,0.281,49,88
20,1:소프트뱅크,120,73,2.92,3.11,2.6,33,"1,035",1066,8.74,"17,995","4,446",843,83,448,56,9,389,346,3,1,0,0.214,48.33%,1.21,"1,786",375,0.21,38,120
20,2:롯데,120,60,3.81,4.07,3.3,34,835,1055,7.12,"17,455","4,459",989,110,370,28,12,479,447,4,2,2,0.244,51.67%,1.29,"1,658",419,0.253,50,78
20,3:세이부,120,58,4.29,4.87,3.48,35,764,1049,6.55,"18,257","4,585","1,010",106,471,53,6,543,500,1,1,0,0.249,33.33%,1.41,"1,580",385,0.244,47,90
20,4:라쿠텐,120,55,4.19,4.29,4.04,28,867,1055,7.39,"18,151","4,528",995,110,383,46,15,522,492,3,2,0,0.244,42.50%,1.31,"1,745",433,0.248,48,103
20,5:일본햄,120,53,4.02,4.08,3.93,25,930,1054,7.94,"18,095","4,553","1,002",98,401,43,21,528,471,5,2,2,0.245,45.83%,1.33,"1,604",419,0.261,40,83
20,6:오릭스,120,45,3.97,3.92,4.07,20,937,1054,8,"18,196","4,509",958,107,444,39,14,502,465,3,1,1,0.239,43.33%,1.33,"1,737",433,0.249,45,84
19,1:거인,143,77,3.77,3.83,3.68,34,"1,139",1279,0.1,"21,439","5,459","1,227",150,421,58,25,573,536,3,1,1,0.248,48.25%,1.29,"2,036",523,0.257,60,112
19,2:DeNA,143,71,3.93,4.04,3.8,30,"1,172",1274,0.1,"21,776","5,470","1,201",137,456,36,62,611,557,6,6,0,0.244,37.06%,1.3,"2,124",536,0.252,61,111
19,3:한신,143,69,3.46,3.9,2.7,36,"1,135",1289,0.1,"21,417","5,445","1,209",115,415,53,29,566,496,5,3,0,0.244,43.36%,1.26,"2,245",555,0.247,46,145
19,4:히로시마,143,70,3.68,3.75,3.63,23,"1,068",1280,0.09,"21,864","5,515","1,198",135,481,48,32,601,524,10,4,5,0.242,52.45%,1.31,"2,207",566,0.256,54,95
19,5:중일,143,68,3.72,3.96,3.32,37,"1,088",1269,0.1,"21,352","5,352","1,155",146,430,50,22,544,525,3,2,0,0.238,46.15%,1.25,"2,145",555,0.259,65,123
19,6:야쿠르트,143,59,4.78,5.05,4.42,28,"1,068",1270,0.09,"21,964","5,608","1,365",168,450,46,23,739,675,3,1,2,0.268,37.06%,1.43,"1,998",562,0.281,66,111
19,1:세이부,143,80,4.36,4.64,3.88,35,875,1281,0.08,"22,321","5,623","1,313",143,499,93,10,695,621,3,2,0,0.262,42.66%,1.41,"2,089",551,0.264,60,91
19,2:소프트뱅크,143,76,3.63,3.87,3.24,49,"1,160",1278,0.1,"22,445","5,446","1,114",137,539,67,11,564,515,3,2,0,0.231,42.66%,1.29,"2,307",527,0.228,56,137
19,3:라쿠텐,143,71,3.74,4.17,3.07,38,"1,084",1284,0.09,"21,660","5,410","1,150",142,441,49,18,578,533,3,1,1,0.235,42.66%,1.24,"2,307",572,0.248,72,150
19,4:롯데,143,69,3.91,4.04,3.68,29,"1,110",1280,0.1,"21,782","5,490","1,245",143,464,50,21,611,556,4,2,1,0.251,43.36%,1.33,"2,124",545,0.257,54,125
19,5:일본햄,143,65,3.76,4.04,3.47,36,"1,046",1265,0.09,"20,664","5,287","1,141",135,390,40,19,586,529,1,1,1,0.236,26.57%,1.21,"1,986",470,0.237,49,138
19,6:오릭스,143,61,4.06,3.96,4.23,38,"1,092",1283,0.09,"21,861","5,490","1,233",137,458,43,28,637,579,5,2,1,0.249,44.76%,1.32,"2,276",560,0.246,54,113
18,1:히로시마,143,82,4.12,4.26,3.87,38,"1,041",1282,0.09,"22,471","5,592","1,267",138,510,37,25,651,587,3,0,2,0.252,45.45%,1.39,"1,971",520,0.264,44,98
18,2:야쿠르트,143,75,4.13,4.32,3.84,40,"1,018",1274,0.09,"21,681","5,540","1,286",143,440,53,24,665,585,4,2,2,0.256,40.56%,1.35,"2,098",561,0.267,57,100
18,3:거인,143,67,3.79,3.63,4.12,25,"1,040",1279,0.09,"21,082","5,421","1,246",144,385,51,21,575,538,21,13,5,0.251,50.35%,1.28,"1,954",495,0.253,55,73
18,4:DeNA,143,67,4.18,4.3,4.01,38,"1,163",1269,0.1,"21,899","5,490","1,264",149,433,46,56,642,590,2,1,0,0.255,31.47%,1.34,"2,036",527,0.259,63,136
18,5:중일,143,63,4.36,4.08,4.93,28,941,1262,0.08,"21,789","5,494","1,249",149,520,50,6,654,611,9,7,1,0.254,48.95%,1.4,"2,094",554,0.265,73,78
18,6:한신,143,62,4.03,4.23,3.7,35,"1,182",1276,0.1,"22,075","5,526","1,238",127,485,51,24,628,572,4,2,1,0.249,46.15%,1.35,"1,979",501,0.253,49,95
18,1:세이부,143,88,4.24,4.17,4.38,33,959,1277,0.08,"21,941","5,515","1,230",148,501,84,5,653,602,7,2,1,0.25,51.05%,1.36,"1,868",485,0.26,52,89
18,2:소프트뱅크,143,82,3.9,4,3.7,44,"1,087",1277,0.09,"22,219","5,423","1,132",163,528,63,11,579,553,6,4,1,0.235,45.45%,1.3,"2,003",456,0.228,69,95
18,3:일본햄,143,74,3.77,4.07,3.19,43,987,1275,0.09,"20,979","5,405","1,242",121,350,63,22,586,535,9,3,1,0.25,48.95%,1.25,"2,207",540,0.245,52,121
18,4:오릭스,143,65,3.7,3.78,3.56,37,"1,029",1292,0.09,"21,423","5,429","1,211",127,383,45,27,565,532,2,2,0,0.243,52.45%,1.23,"2,245",534,0.238,54,126
18,5:롯데,143,59,4.05,4.22,3.72,30,908,1276,0.08,"21,531","5,454","1,289",129,425,30,28,628,574,8,3,0,0.259,46.15%,1.34,"2,153",571,0.265,60,103
18,6:라쿠텐,143,58,3.78,3.87,3.59,26,"1,115",1289,0.1,"22,015","5,482","1,201",143,457,51,36,583,541,10,2,2,0.243,48.95%,1.29,"2,161",552,0.255,61,83
17,1:히로시마,143,88,3.39,3.71,2.77,36,"1,035",1290,0.09,"21,580","5,446","1,182",92,473,26,3,540,486,4,2,1,0.239,58.04%,1.28,"2,214",544,0.246,40,114
17,2:한신,143,78,3.3,3.66,2.68,38,"1,223",1285,0.11,"21,489","5,446","1,178",92,445,62,3,528,472,4,1,0,0.239,47.55%,1.26,"2,165",536,0.248,34,129
17,3:DeNA,143,73,3.81,3.76,3.92,35,"1,117",1286,0.1,"21,984","5,482","1,202",128,478,45,14,598,545,5,3,0,0.243,49.65%,1.31,"2,123",524,0.247,54,137
17,4:거인,143,72,3.32,3.26,3.42,31,"1,083",1276,0.09,"20,823","5,312","1,182",116,358,50,5,504,470,9,6,4,0.241,58.74%,1.21,"2,037",498,0.244,57,57
17,5:중일,143,59,4.06,4.1,3.99,37,949,1281,0.08,"21,781","5,498","1,231",127,491,65,4,623,578,6,2,0,0.249,50.35%,1.34,"2,428",565,0.233,57,98
17,6:야쿠르트,143,45,4.23,4.16,4.35,18,"1,011",1261,0.09,"21,350","5,435","1,271",157,417,45,14,653,592,6,2,1,0.256,48.95%,1.34,"2,070",551,0.266,66,85
17,1:소프트뱅크,143,94,3.23,3.46,2.8,58,"1,203",1276,0.1,"21,456","5,284","1,062",134,450,52,1,483,458,4,2,1,0.222,49.65%,1.18,"2,067",449,0.217,45,125
17,2:세이부,143,79,3.54,3.64,3.34,29,967,1269,0.08,"20,825","5,328","1,169",125,396,53,7,560,499,10,7,1,0.24,51.05%,1.23,"1,930",493,0.255,54,86
17,3:라쿠텐,143,77,3.34,3.35,3.32,41,"1,144",1280,0.1,"21,432","5,341","1,140",115,401,49,6,528,475,13,3,2,0.233,55.94%,1.2,"2,279",550,0.241,41,104
17,4:오릭스,143,63,3.83,3.88,3.75,35,"1,015",1275,0.09,"21,405","5,393","1,214",124,425,33,8,598,543,13,5,3,0.246,50.35%,1.29,"2,163",568,0.263,63,92
17,5:일본햄,143,60,3.82,4.2,3.16,31,968,1266,0.08,"21,120","5,446","1,246",147,430,38,13,596,537,6,2,3,0.251,38.46%,1.32,"2,094",541,0.258,72,114
17,6:롯데,143,54,4.22,4.12,4.44,27,939,1264,0.08,"21,872","5,512","1,293",143,474,48,12,647,593,11,1,3,0.26,51.05%,1.4,"2,130",568,0.267,64,89
16,1:히로시마,143,89,3.39,3.71,2.77,36,"1,035",1290,0.09,"21,580","5,446","1,182",92,473,26,3,540,486,4,2,1,0.239,58.04%,1.28,"2,214",544,0.246,40,114
16,2:거인,143,71,3.3,3.66,2.68,38,"1,223",1285,0.11,"21,489","5,446","1,178",92,445,62,3,528,472,4,1,0,0.239,47.55%,1.26,"2,165",536,0.248,34,129
16,3:DeNA,143,69,3.81,3.76,3.92,35,"1,117",1286,0.1,"21,984","5,482","1,202",128,478,45,14,598,545,5,3,0,0.243,49.65%,1.31,"2,123",524,0.247,54,137
16,4:한신,143,64,3.32,3.26,3.42,31,"1,083",1276,0.09,"20,823","5,312","1,182",116,358,50,5,504,470,9,6,4,0.241,58.74%,1.21,"2,037",498,0.244,57,57
16,5:야쿠르트,143,64,4.06,4.1,3.99,37,949,1281,0.08,"21,781","5,498","1,231",127,491,65,4,623,578,6,2,0,0.249,50.35%,1.34,"2,428",565,0.233,57,98
16,6:중일,143,58,4.23,4.16,4.35,18,"1,011",1261,0.09,"21,350","5,435","1,271",157,417,45,14,653,592,6,2,1,0.256,48.95%,1.34,"2,070",551,0.266,66,85
16,1:일본햄,143,87,3.23,3.46,2.8,58,"1,203",1276,0.1,"21,456","5,284","1,062",134,450,52,1,483,458,4,2,1,0.222,49.65%,1.18,"2,067",449,0.217,45,125
16,2:소프트뱅크,143,83,3.54,3.64,3.34,29,967,1269,0.08,"20,825","5,328","1,169",125,396,53,7,560,499,10,7,1,0.24,51.05%,1.23,"1,930",493,0.255,54,86
16,3:롯데,143,72,3.34,3.35,3.32,41,"1,144",1280,0.1,"21,432","5,341","1,140",115,401,49,6,528,475,13,3,2,0.233,55.94%,1.2,"2,279",550,0.241,41,104
16,4:세이부,143,64,3.83,3.88,3.75,35,"1,015",1275,0.09,"21,405","5,393","1,214",124,425,33,8,598,543,13,5,3,0.246,50.35%,1.29,"2,163",568,0.263,63,92
16,5:라쿠텐,143,62,3.82,4.2,3.16,31,968,1266,0.08,"21,120","5,446","1,246",147,430,38,13,596,537,6,2,3,0.251,38.46%,1.32,"2,094",541,0.258,72,114
16,6:오릭스,143,57,4.22,4.12,4.44,27,939,1264,0.08,"21,872","5,512","1,293",143,474,48,12,647,593,11,1,3,0.26,51.05%,1.4,"2,130",568,0.267,64,89
15,1:야쿠르트,143,76,3.31,3.68,2.67,42,935,1272,6.61,"20,733","5,355","1,204",112,416,48,13,518,468,3,3,1,0.247,51.05%,1.27,"2,120",532,0.251,56,105
15,2:거인,143,75,2.78,2.81,2.71,43,992,1271,7.02,"20,257","5,214","1,096",99,365,39,10,443,393,11,5,2,0.228,60.84%,1.15,"2,503",590,0.236,51,78
15,3:한신,143,70,3.47,3.2,4.16,42,"1,090",1272,7.71,"21,425","5,448","1,230",94,445,44,7,550,491,10,6,2,0.248,60.14%,1.32,"2,393",579,0.242,36,68
15,4:히로시마,143,69,2.93,2.96,2.86,36,"1,010",1286,7.07,"21,224","5,379","1,174",74,416,35,3,474,419,9,1,1,0.238,66.43%,1.24,"2,519",624,0.248,39,71
15,5:중일,143,62,3.19,3.28,3.01,34,966,1279,6.8,"21,083","5,373","1,169",91,416,41,9,504,453,9,4,1,0.238,58.74%,1.24,"2,457",611,0.249,42,93
15,6:DeNA,143,62,3.8,4,3.44,40,"1,003",1267,7.12,"21,599","5,493","1,298",113,456,29,8,598,535,7,1,2,0.26,50.35%,1.38,"2,260",616,0.273,49,88
15,1:소프트뱅크,143,90,3.16,3.31,2.83,44,"1,129",1299,7.82,"21,500","5,398","1,137",113,422,51,5,491,456,10,4,2,0.231,63.64%,1.2,"2,177",515,0.237,46,103
15,2:일본햄,143,79,3.62,3.86,3.19,39,993,1276,7,"21,295","5,447","1,186",101,466,58,5,581,514,11,4,2,0.241,45.45%,1.29,"2,018",499,0.247,39,94
15,3:롯데,143,73,3.69,4.02,3.11,41,926,1264,6.59,"21,550","5,429","1,292",101,422,54,6,563,519,5,3,2,0.261,50.35%,1.36,"2,104",569,0.27,46,93
15,4:세이부,143,69,3.69,3.82,3.49,30,873,1265,6.21,"21,707","5,411","1,172",104,472,70,15,573,519,9,1,0,0.241,52.45%,1.3,"1,992",488,0.245,43,89
15,5:오릭스,143,61,3.59,3.45,3.85,30,955,1263,6.8,"21,397","5,401","1,204",103,461,50,15,548,504,7,4,0,0.247,57.34%,1.32,"2,155",543,0.252,41,69
15,6:라쿠텐,143,57,3.82,3.89,3.73,36,"1,023",1287,7.15,"21,923","5,570","1,302",113,446,49,10,612,547,4,1,1,0.257,54.55%,1.36,"2,412",641,0.266,60,105
